Continental region,Plans measured,Average price of 1GB (local currency),Currency,Conversion rate (USD) (Frozen 07/09/2023),Average price of 1GB (USD),Cheapest 1GB (Local currency),Cheapest 1GB for 30 days (USD),Most expensive 1GB (Local currency),Most expensive 1GB (USD),DATE
EASTERN EUROPE,12,1.17,EUR,1.07157,$1.25 ,0.81,$0.87 ,1.5,$1.61 ,11/8/2023
SUB-SAHARAN AFRICA,6,24.21,SZL,0.05193,$1.26 ,6.67,$0.35 ,1000,$51.93 ,8/8/2023
BALTICS,21,1.18,EUR,1.07157,$1.26 ,0.13,$0.14 ,11.67,$12.51 ,26-07-2023
SUB-SAHARAN AFRICA,8,225,DJF,0.00561,$1.26 ,83.33,$0.47 ,5000,$28.05 ,17-07-2023
NORTHERN AFRICA,21,4,TND,0.31949,$1.28 ,0.8,$0.26 ,11.46,$3.66 ,9/8/2023
WESTERN EUROPE,13,1.05,GBP,1.2486,$1.31 ,0.42,$0.52 ,14,$17.48 ,25-07-2023
NEAR EAST,20,0.5,BHD,2.65257,$1.31 ,0.33,$0.88 ,0.93,$2.46 ,12/7/2023
NORTHERN AFRICA,29,50,MRO,0.02632,$1.32 ,20,$0.53 ,100,$2.63 ,1/8/2023
OCEANIA,38,5,PGK,0.27287,$1.36 ,1.2,$0.33 ,83.33,$22.74 ,4/8/2023
ASIA (EX. NEAR EAST),12,11.61,MOP,0.12368,$1.44 ,3.9,$0.48 ,17.5,$2.16 ,1/8/2023
SUB-SAHARAN AFRICA,22,885.42,XOF,0.00163,$1.45 ,166.67,$0.27 ,2222.22,$3.63 ,8/8/2023
NEAR EAST,24,5.61,SAR,0.26661,$1.49 ,1.15,$0.31 ,34.5,$9.20 ,7/8/2023
WESTERN EUROPE,13,1.4,EUR,1.07157,$1.50 ,0.15,$0.16 ,15,$16.07 ,23-07-2023
ASIA (EX. NEAR EAST),41,63333.33,IRR,0.00002,$1.50 ,31142.86,$0.74 ,450000,$10.65 ,5/9/2023
OCEANIA,42,1.5,USD,1,$1.50 ,0.5,$0.50 ,4.06,$4.06 ,6/7/2023
SUB-SAHARAN AFRICA,18,13000,GNF,0.00012,$1.51 ,10000,$1.16 ,25000,$2.91 ,30-08-2023
CARIBBEAN,18,4.17,XCD,0.37002,$1.54 ,2.5,$0.93 ,12.75,$4.72 ,4/9/2023
OCEANIA,24,187.5,VUV,0.00823,$1.54 ,133.33,$1.10 ,3000,$24.68 ,10/8/2023
EASTERN EUROPE,12,156.25,ALL,0.00994,$1.55 ,29,$0.29 ,1200,$11.93 ,5/7/2023
CARIBBEAN,17,4.26,XCD,0.37002,$1.58 ,2.5,$0.93 ,8.33,$3.08 ,26-07-2023
CARIBBEAN,26,1.47,EUR,1.07157,$1.58 ,0.36,$0.39 ,10,$10.72 ,28-07-2023
SUB-SAHARAN AFRICA,15,972.22,XAF,0.00163,$1.59 ,714.29,$1.17 ,1000,$1.63 ,21-07-2023
WESTERN EUROPE,50,1.5,EUR,1.07157,$1.61 ,0.33,$0.36 ,13.5,$14.47 ,3/8/2023
CENTRAL AMERICA,12,1.63,PAB,0.99908,$1.63 ,1.2,$1.20 ,4,$4.00 ,4/8/2023
SUB-SAHARAN AFRICA,28,1000,XOF,0.00163,$1.63 ,285.71,$0.47 ,5000,$8.17 ,8/8/2023
SUB-SAHARAN AFRICA,24,1000,XAF,0.00163,$1.63 ,333.33,$0.54 ,3600,$5.88 ,30-08-2023
SUB-SAHARAN AFRICA,34,1000,XOF,0.00163,$1.63 ,476.19,$0.78 ,5000,$8.17 ,3/8/2023
CIS,22,18.17,TJS,0.09091,$1.65 ,1.83,$0.17 ,150,$13.64 ,9/8/2023
WESTERN EUROPE,11,1.36,GBP,1.2486,$1.69 ,0.4,$0.50 ,17.04,$21.28 ,20-07-2023
WESTERN EUROPE,13,1.59,EUR,1.07157,$1.70 ,0.85,$0.91 ,7,$7.50 ,27-07-2023
EASTERN EUROPE,12,625,HUF,0.00274,$1.71 ,169.8,$0.47 ,1427.14,$3.92 ,23-07-2023
CIS,24,3,AZN,0.58824,$1.76 ,0.6,$0.35 ,9.67,$5.69 ,10/7/2023
WESTERN EUROPE,20,1.67,EUR,1.07157,$1.79 ,0.21,$0.23 ,16.99,$18.21 ,6/8/2023
WESTERN EUROPE,3,1.8,GBP,1.2486,$1.44 ,0.34,$0.42 ,10.5,$8.41 ,23-07-2023
SUB-SAHARAN AFRICA,46,34.69,ZAR,0.05209,$1.81 ,2,$0.10 ,190,$9.90 ,6/9/2023
